,establishment,establishment_code
17591,meridian telekoms inc.,3824
17592,net evolution technologies,4180
17593,shellsoft technologies corp.,5480
17597,motorola,3971
17600,innove communications,3022
17601,"digital telecommunications, phils. inc.",1711
17602,digitel,1715
17608,"cheq systems, inc.",1153
17611,hyatt regency,2828
17616,the hershey company,6168
17619,chanel,1135
17623,asian terminals inc. (ati),594
17625,smart communications inc,5580
17632,team pacific corporation,6044
17635,consistel,1401
17636,comm trend construction corporation,1352
17645,ateneo association for communications technology management,632
17648,company of ateneo dancers,1365
17657,"smart communication, inc.",5578
17661,international exchange bank,3095
17662,banco filipino,752
17669,coca-cola bottlers' sales and services ,1293
17675,dilg - department of the interior and local government,1739
17681,gl advisor,2494
17688,phillife financial assurance corporation,4711
17690,asian hospital and medical center,585
17709,villar group of companies,6632
17719,alterations plus ,379
17721,bengar industrial corporation ,858
17723,paymaya philippines ,4497
17731,star communication,5779
17733,smc infrastructure ,5602
17734,abs-cbn publishing,116
17735,tourism promotions board,6274
17736,mr. edu jarque - writer at philippine star,3982
17741,erp integrated solutions ,2088
17742,"zuellig pharma asia pacific ltd, philippines rohq",6923
17746,sterling life insurance,5818
17748,"intel technology, phils.",3070
17751,erovoutika ,2086
17754,publicis advertising vietnam,4917
17755,publicis manila,4918
17756,saatchi & saatchi malaysia,5214
17757,harrison communications (mccann world group),2655
17758,ace saatchi & saatchi,177
17764,sli consulting inc. ,5548
17765,eteligent software solutions,2110
17767,pilipino telephone corporation,4741
17774,"pepsi-cola products phils., inc",4551
17775,"erp business and managed solutions, inc. (erpbiz)",2087
17779,spi technologies,5717
17780,"accord customer care solution phils., inc",163
17782,expertline ventures corporation,2167
17784,mullenlowe treyna,4000
17785,freelance/consultant,2354
17787,kb entertainement inc,3319
17798,"digitel mobile philippines, inc.",1729
17808,rv graphics,5205
17828,"stratworks, inc.",5851
17829,aspace philippines,605
17830,next theory,4204
17832,aquabest,496
17833,aiesec in de la salle university-manila,290
17845,everlounge inc.,2137
17846,tyche consulting ltd,6396
17849,de la salle - college of st. benilde ,1564
17852,ge,2438
17857,pwc south east asia consulting,4944
17859,"market strategic firm, inc. - sm sucat ",3693
17861,national tax research center ,4066
17862,kimishima seiki co. ltd ,3349
17866,zte corporation ,6919
17872,kaizen food enterprises inc.,3303
17874,"smart e-money, inc.",5589
17879,maxis,3724
17882,ltebrain,3541
17883,ip venture group (globalstride),3119
17887,paymaya philippines & maya bank ,4498
17888,zennya ,6906
17889,sesura.com,5401
17890,seektheuniq.com ,5373
17891,galactic exchange,2419
17893,"voyager innovations, inc.",6672
17896,"viper technologies, inc.",6635
17908,admerex solutions inc.,227
17910,bay area healthcare staffing,795
17911,corinthian medical staffing,1428
17925,transnational uyeno solar corporation,6325
17926,transnational diversified group ,6323
17928,accralaw,169
17937,"gfg group, ltd",2480
17939,"unisys philippines, ltd",6449
17948,"nuvo sales, inc.",4295
17955,feu alabang,2223
17957,framedia inc.,2342
17958,r.g. manabat & co. (kpmg philippines),4984
17959,bdo consulting philippines,815
17962,"sterling global call center, inc. ",5817
17976,bonpack manufacturing inc.,923
17977,stream global services (etelecare),5856
17980,axa group operations ,701
17992,"international toy world, inc. ",3101
17993,jm olbes marketing ,3232
17994,ilang-ilang residence hall,2926
17995,jm olbes marketing,3231
18000,automatic appliances inc.,678
18003,digitel mobile phils. inc. (sun cellular),1734
18005,insites consulting ,3030
18012,world food programme,6817
18014,pldt global corporation,4771
18016,pldt malaysia sdn bhd,4773
18018,carecom,1049
18025,"hmr philippines, inc.",2750
18028,propelrr ,4880
18029,converge ict solutions inc. ,1410
18030,coccon labs ,1301
18034,kyocera document solutions inc. ,3388
18035,managed services fz llc ,3621
18047,kontakone management exchange inc,3368
18054,"digitel mobile phils., inc (sun cellular)",1735
18055,"digitel mobile phils., inc. (sun cellular)",1736
18062,che che go milktea station ,1147
18063,"edmark philippines, inc. ",1902
18067,"shea lotion bars, start-up business",5433
18068,ateneo collegiate society of advertising,635
18069,make your own havaianas,3617
18070,ateneo biological organization,633
18073,bookhop,924
18074,"arc public relations, inc. (mullen lowe marc)",504
18075,elevation partners inc.,1929
18081,one shangri-la place,4350
18082,phoenix heights association,4722
18083,supply chain management association of the philippines,5915
18089,"bank of makati, a savings bank",765
18095,hipages,2740
18105,mtc and co.,3997
18107,mg madrid & co.,3868
18109,digitel mobile phils. inc.,1733
18111,citimax group inc. ,1231
18112,ge healthcare ,2443
18113,"medicotek, inc.",3777
18115,"al rushaid construction company - eei, inc. corp.",316
18117,cyber city teleservices,1498
18125,accent micro products inc.,131
18126,administrative assistant,229
18130,digital arts sales corporation,1694
18137,"primeworld digital systems, inc.",4846
18140,philippine council for agriculture and resources research and development (pcarrd),4634
18141,colegio de san juan de letran calamba,1329
18143,oracle,4388
18144,"accenture, manila",158
18145,"negros navigation co., inc.",4090
18149,avid technology,689
18150,unilever phils inc.,6441
18154,meralco industrial engineering services corporation (miescor),3808
18158,it managers,3167
18161,shiva interactive,5488
18163,philippine long distance telephone company/smart communications inc.,4663
18169,digital telecommunications philippines inc.,1708
18170,electronia,1923
18171,domestic satellite philippines inc.,1797
18175,citibank,1213
18176,abojeb company,103
18179,"maynilad water services, inc.",3735
18186,"888 creative studios/information gateway, inc.",53
18203,smart broadband inc.,5573
18209,general mariano alvarez water district (gmawd),2453
18211,one news philippines,4349
18216,aborlan medicare hospital,104
18218,abc 5,86
18219,espresso design inc,2094
18223,"codegum, inc ",1307
18227,pulido apparel inc. company ,4921
18235,"the american chamber of commerce of the philippines, inc. ",6137
18236,st. andrew the apostle ,5742
18239,suncellular,5897
18252,hp philippines,2801
18257,salinas foods corp.,5238
18260,lserv corporation ,3539
18261,"club media asia, inc.",1274
18264,himex corporation,2732
18267,lg electronics philippines,3478
18276,first philippine solar rooftops,2270
18278,epik studios,2054
18280,cleentech solar rooftops,1251
18281,media5 (tv5),3763
18283,de la salle - college of st. benilde,1563
18284,prime communicatons,4837
18285,jaka distribution inc.,3198
18286,jdh philippines,3208
18288,jaka food processing corp.,3199
18293,the warehouse fitness studio ,6205
18294,"hotlegs entertainment, inc. ",2791
18296,software laboratories inc.,5644
18298,fortinet ,2331
18301,cisco,1209
18306,ericsson ,2077
18308,sun life financial of canada (philippines) ,5891
18313,"i-contacts corporation, a smart subsidiary",2843
18315,ejg construction,1915
18316,national power corporation,4061
18321,panasonic communications philippines corporation,4467
18324,"kpmg r.g. manabat & co., cpas",3378
18326,process synergy inc.,4859
18327,aboitiz jebsen bulk transport corporation,96
18330,san miguel corporation telco - belltel inc,5266
18334,liberty commercial center inc.,3484
18336,feu institute of technology,2224
18337,percdc,4552
18343,hermanos locos inc,2700
18346,globe telecom (innove communications),2529
18347,corporate information solutions inc.,1434
18349,enterprise business pldt and smart,2039
18357,sas institute philippines,5310
18358,"smart telecommunications,inc",5596
18359,smart telecommunication,5594
18360,spi technologies ltd,5719
18361,"accord customer care solutions phils., inc ",165
18370,digitel mobile philippines inc - sun cellular,1720
18373,"(digitel mobile phils., inc.) sun cellular",3
18375,share treats innovation ,5430
18376,zap group inc. ,6901
18379,mother earth foundation,3970
18390,"telecommunication distributors specialists, inc. ",6070
18391,"telecommunications distributors specialists, inc. ",6071
18392,staff alliance ,5764
18393,st. scholastica's academy marikina ,5755
18399,stained glass productions,5772
18414,iqvia,3133
18415,academia language and review center,128
18417,"department of environment, land, water and planning",1634
18418,foreign trade university,2321
18421,"elevated play philippines, inc.",1927
18430,rustans specialty concepts inc -debenhams (ssi group),5204
18431,"specialty food retailers, inc.",5700
18432,sofitel,5635
18434,conec inc,1393
18450,"prime technology specialists, inc. ",4844
18451,5db enterprises ,47
18452,skycablenet inc. ,5544
18464,neo satellite tv distribution corp,4093
18465,rex printing co. inc,5098
18469,"morgan, lewis & bockius llp",3967
18471,imperium technology,2942
18478,young & rubicam ,6883
18479,organizational communication society,4401
18488,merck consumer health care (shanghai) trading co. ltd,3813
18490,gfk ,2481
18491,sqreem technologies ,5732
18498,digitel mobile philippines inc. - suncellular,1727
18499,commtrend construction co. inc.,1360
18500,nextel communications phil. inc.,4207
18501,ucom (united commnications) public co. ltd.,6411
18502,lucent technologies int'l. inc.,3544
18503,islacom ( presently touch mobile),3148
18504,liberty telecoms ( radionet inc.),3486
18513,philippine seven corporation ,4683
18514,artwork shop inc ,537
18515,mandaue foam industries inc. ,3624
18520,unicef philippines,6432
18521,xp solutions,6853
18527,first academy of computer arts,2254
18528,smart wifun,5597
18529,orchid cybertech services,4399
18533,"g. pagaspas partners & co., cpas",2414
18535,nvsu accounting office,4297
18540,a.b. amarante accounting service,67
18542,pamantasan ng lungsod ng maynila (university of the city of manila),4457
18546,"smart broadband, inc. (formerly, meridian telekoms, inc",5575
18547,american life & general insurance company,417
18549,"bengzon, zarraga",860
18550,tanjuatco corpuz tanjuatco,6024
18567,the dataflow group,6154
18570,the all-asian centre for enterprise development (ascend) inc. ,6136
18573,fedex / airfreight 2100,2216
18574,pnoc development & management corporation,4783
18576,"mdi (micro-d international, inc.)",3751
18586,bjr training services - excelminds,895
18601,cs enriquez mech shop corp.,1476
18608,great asia printing press,2600
18615,pldt smart ,4774
18616,pldt and smart,4767
18623,jaspage,3205
18625,sky cable corporation,5539
18631,philcox (phils.) inc,4603
18632,aliw broadcasting corporation,337
18635,total,6267
18637,macrolite corporation,3571
18645,3i infotech limited,38
18647,"nec philippines, inc.",4087
18665,sta. clara international corporation ,5761
18670,"the borromeo fashion house, inc. (sofie.b)",6146
18674,allianz pnb life ,351
18675,vodafone,6662
18687,aarki,76
18689,lowe worldwide / manila,3534
18690,perlas design studio,4561
18692,jwt,3293
18693,blogstar,902
18695,designafairs,1658
18696,pipeline media inc.,4748
18697,k2 interactive pte. ltd. (singapore),3297
18698,k2 interactive,3295
18699,fuel media design,2370
18703,canon marketing (philippines) inc,1031
18711,mobile payment solutions - a mastercard and smart hub inc. joint venture ,3934
18717,creative infosolutions inc,1459
18719,"unistrong coatings and general painting inc,",6448
18723,maxis communications bhd,3725
18724,nokia singapore,4248
18738,telkha network inc,6098
18739,servflex inc,5393
18745,maersk global services centres (phils) ltd. - intern,3583
18746,budget pc shop sales and services inc.,964
18753,coca-cola customer business solutions,1296
18758,metro telworks,3844
18769,safeway,5218
18770,metalogix software,3828
18773,atos it solutions and services a/s,660
18775,iontec - informática e sistemas,3113
18776,psbank center,4900
18781,emerson network power (philippines),1999
18782,sun life financial of canada (philippines),5890
18784,government service insurance system (gsis batangas branch) ,2585
18795,headstrong consutancy philippines (formerly james martin & co.),2680
18804,ddb group philippines ,1560
18813,"intel technology, phils. inc.",3071
18816,marketing convergence inc. (sm advantage),3696
18818,"icedream, inc.",2895
18819,ananta food corp.,445
18820,silverworks,5515
18825,agc asahi glass,269
18840,"meinhardt philippines, inc.",3798
18841,meinhardt philippines inc.,3797
18842,phinma property holdings corp,4718
18856,"pointman placement specialist, inc. ",4790
18858,"digitel mobile philippines, inc. (sun cellular)",1731
18861,marketing convergence inc.,3695
18864,peopleserve multipurpose cooperative,4538
18865,dimensional service corporation,1744
18870,estv cable television network,2104
18871,andes mountain printing press,450
18880,united communications inc. (ucom),6454
18883,vivo mobile tech inc.,6655
18888,philippine institute of industrial engineers,4658
18889,mitsubishi motors,3926
18892,nidec philippines corporation,4225
18898,ess manufacturing company inc.,2096
18906,eculine,1897
18918,staffbuilders inc,5771
18920,payreto,4500
18943,national housing development authority,4054
18952,"cen global solutions, inc ",1105
18953,aruze gaming america ,539
18954,"fujitsu ten solutions philippines, inc. ",2398
18957,"sanyo denki co., ltd.",5300
18967,"touch solutions, inc.",6272
18974,philip morris philippines mfg inc,4609
18980,pacific strategies and assessments,4440
18981,citigroup,1225
18987,bank of the philppine islands,777
18988,"coffee masters, inc.",1308
18990,sky cable,5538
18992,venture consulting,6594
18999,wolfpac mobile inc.,6801
19000,"globe telecom, inc.",2532
19008,edotoco towers inc ,1903
19011,3d comm,36
19012,commtrend construction corporation,1361
19013,globe telecom inc,2530
19014,local government unit,3520
19016,decatechnologies,1587
19022,prulife u.k,4895
19024,digitel mobile philippines (sun cellular) ,1718
19029,ebdi philippines inc.,1886
19035,hsi hemocare system inc. ,2812
19037,istorya creations ,3158
19039,philippine sports commission,4684
19045,lazada,3442
19052,onesimus corporation,4359
19055,ceva logistics,1127
19057,"tagum agricultural development company, inc",6009
19063,cityland group of companies,1243
19065,jinisys software inc ,3225
19066,above infranet solutions inc. ,105
19071,rockwell collins,5162
19074,ixs.ph,3183
19075,ssa consulting group,5734
19086,tribal worldwide ,6342
19088,vibal group of company,6623
19089,creativoices productions,1464
19095,nesic telecom construction philippines corp. ,4097
19097,starcom,5787
19098,ogilvy & mather,4323
19099,tribal worldwide,6341
19100,leo burnett,3461
19101,clemenger proximity,1252
19102,proximity philippines,4891
19103,singleton ogilvy,5523
19104,iwl,3182
19107,bbdo guerrero ortega,807
19113,"ocwen business solutions, inc. ",4312
19117,pfizer inc,4579
19121,bank of makati. inc (savings bank),768
19122,motortrade nationwide corporation,3973
19127,atr asset company and atr trust company,664
19128,private,4850
19129,"betterbrandlabs, inc. ",875
19130,ubuntu premium studios,6408
19131,private ,4851
19132,pearth corporation,4517
19133,switch partners inc. business advisory and digital supply chain,5940
19134,stone code enterprise solutions corporation,5834
19135,igateway mobile philippines,2915
19136,alagang kapatid foundation,317
19137,"mediaquest inc., tv5 corp, cignal, media 5",3766
19139,smart hub inc.,5591
19140,nutriasia inc.,4293
19141,unilever malaysia and singapore,6438
19145,unilever shanghai toothpaste company,6442
19147,allhome group ,347
19152,first philippine holdings corporation,2267
19153,loyola schools office of placement and career services,3535
19154,ateneo orsem committee 2018,647
19155,ateneo college ministry group,634
19156,microsoft student community of the ateneo,3882
19165,smart communucations,5588
19172,samsung customer service ,5246
19175,sgv & co. (ernst & young philippines),5416
19179,"philam plans, inc",4598
19182,smart communnications,5587
19183,sm- mci,5572
19187,bitmicro networks,892
19190,abs-cbn convergence,109
19199,verizon enterprise solutions,6602
19202,creative programs inc (abs-cbn cable channels),1462
19204,laguna state polytechnic university - siniloan,3413
19208,maya,3727
19213,"smart hub, inc.",5592
19214,weave technologies,6707
19215,cyberstateu.com philippines,1501
19216,"fujitsu philippines, inc.",2391
19223,olx group,4333
19224,kittelson & carpo consulting,3353
19227,"unilab foundation, inc.",6434
19231,philips lighting,4709
19233,"timefree innovations, inc.",6231
19235,k2 interactive (asia) inc.,3296
19236,"globe telecommunications, inc.",2535
19240,"amdocs philippines, inc.",411
19257,euro-med laboratories,2120
19267,eli lilly and company ,1930
19268,wise balkan holding inc.,6785
19269,weaccess contact solution,6703
19270,kestrel ddm,3332
19272,pt&t ,4911
19273,"human nature (gandang kalikasan, inc.)",2820
19277,tupperware brands,6383
19279,destiny cable inc.,1663
19281,bisnow ,891
19292,grand hyatt,2596
19294,hyatt city of dreams manila,2826
19300,kc industrial corporartion ,3320
19302,"de la salle university, decision science and innovation department",1577
19306,software laboratories incorporated ,5646
19307,elevated play phils. inc. ,1928
19308,psbank via sli ,4903
19309,ibm via 77gsi ,2891
19310,"gameloft philippines, inc.",2428
19312,nabi computer systems ,4036
19315,cavite state university - main campus ,1075
19318,"dela peña copy system, notarial services and general merchandise",1593
19319,labor education and research network (learn),3403
19323,"lbc express, inc.",3445
19324,ibm daksh business process services phils. inc,2865
19333,eservglobal,2090
19334,integrator,3057
19335,singtel optus,5524
19349,"the studio of secret6, inc.",6200
19351,universal motors corporation,6469
19376,speedy-tech philippines ,5704
19379,"nnit philippines, inc.",4241
19381,fujitsu philippines inc.,2388
19382,rosehall management consultants,5175
19383,"coca-cola bottlers philippines, inc",1291
19386,ibms technology phils corp. ,2892
19387,globaltronics ph ,2524
19389,dxc technology (philippines),1833
19397,"molex integrated products philippines, inc. ",3945
19398,minebeamitsumi ,3898
19400,atticus advisory solutions inc. ,666
19401,sophos ,5681
19402,talentscout inc.,6021
19406,grab,2590
19415,denso,1618
19418,tech mahindra business process services,6051
19422,link2support,3502
19425,hewlett packard,2703
19434,chungdahm philippines,1194
19435,q2hr solutions inc.,4948
19439,lloopp,3514
19443,"supply chain consulting philippines, inc.",5914
19444,"smits, inc. - it company of san miguel corporation ",5619
19445,sucere foods corporation and twin oaks foods corporation ,5868
19449,shiperp ,5487
19452,quezon power (philippines) limited co. ,4974
19458,sweda inc.,5938
19459,philippine multi-media system incorporated,4666
19460,supervalue inc.,5913
19476,national institute of molecular biology and biotechnology,4056
19478,"land registration systems, inc",3426
19481,pacific online systems corporation,4437
19484,chevron holdings inc,1160
19485,ibm philippines,2875
19489,"infopro business solutions, inc.",2980
19491,infopro business solutions inc,2979
19492,thermaprime drilling corporation,6209
19493,"thermaprime well services, inc.",6210
19514,top draw animation ,6252
19516,tropical disease foundation inc. ,6362
19518,rustan supercenters inc. (shopwise) ,5202
19519,"design coordinates, inc.",1657
19520,"digital telecommunications philippines, inc. - ditsi ",1710
19521,"digital telecommunications philippines, inc. ",1709
19529,"jupiter systems, incorporated",3291
19551,iontech-enterprise inc,3114
19552,servimax technologies incorporated,5400
19562,workcentric solutions consulting inc. ,6807
19573,cdc manufacturing corporation ,1087
19577,development academy of the philippines (dap) ,1672
19584,total risc technology global limited,6271
19586,"information ventures, inc",2993
19587,global sapphire inc.,2515
19588,flavor foods product int'l inc.,2290
19590,dxc technology (philippines) ,1834
19592,ecompserve solutuons corp. ,1896
19604,it associates corporation,3163
19607,activelearning inc. ,206
19614,riskco ,5117
19615,. ,9
19618,"insular health care, inc.",3042
19621,ejmc construction and development corp.,1916
19633,verasie research and management consultancy ,6597
19634,rebirth philippines therapeutic community foundation inc.,5043
19635,colegio de san gabriel arcangel,1327
19638,outsourced.ph (kpmg australia) ,4423
19639,hitachi solutions asia pacific ,2744
19640,ignify ,2921
19641,rivereo manila (ideaca canada) ,5119
19642,techlog center philippines (asurion) ,6055
19643,wallem innovative solutions (mindkey asia group) ,6690
19644,resource dimension asia inc. ,5090
19645,1001 technologies sdn bhd ,10
19646,msb solutions sdn bhd. ,3987
19647,blue eyed dragon technology philippines inc. ,905
19648,chanel card convergence ,1136
19651,san lorenzo ruiz school of marikina city ,5263
19652,neungyule eduphone inc. ,4194
19653,"convergys philippines (macy’s credit, usa) ",1417
19654,find human resources inc ,2251
19657,exercises for injuries ,2146
19658,sem network information technology company ltd. ,5384
19659,"dsg sons group, incorporated ",1815
19660,lyr group of companies ,3560
19663,bfi ,878
19667,"apollo broadcast investors, inc ",479
19669,itsm corporation ,3178
19670,verizon ,6601
19674,albie's ph ,322
19675,coinsmart ,1325
19676,international care ministries,3091
19689,fujitsu computer products corporation of the philippines,2376
19701,"phoenix petroleum philippines, inc.",4724
19704,the hive,6169
19709,the software factory inc,6198
19710,samsung electronics philippines manufacturing corp,5255
19714,focalcast media,2305
19715,digital media exchange,1699
19716,asacolor & chemical industries,547
19717,secure payment networks ,5363
19718,edinet philippines inc ,1900
19722,asg software solutions,552
19723,"ibm philippines, inc.",2877
19724,"rpi technologies, inc.",5191
19725,"pci automation center, inc.",4508
19729,jpmorgan chase ,3272
19730,"teledatacom philipppines, inc. (http://teledata.com.ph/)",6073
19731,percom (http://www.percom.com.ph/) ,4555
19732,"touch solutions, inc. (http://www.touchgroup.net/)",6273
19734,total integrated resources ,6268
19735,itworks global solutions ,3180
19737,jg summit olefins corporation,3218
19739,canon business machines ,1019
19755,madrid philippines,3576
19760,smesoft inc. ,5609
19769,"dna micro software, inc. ",1789
19770,carloabella.com ,1055
19771,mushroom multimedia pte ltd ,4014
19772,x3mfx studios ,6841
19775,yra outsourcing and business solutions,6886
19785,oracle philippines,4393
19790,st. john the baptist marikina hospital,5745
19801,numonyx,4290
19817,world health organization,6818
19820,dbquest inc. ,1557
19843,"asian business solutions, incorporated",575
19849,epldt,2056
19856,seer technologies inc.,5375
19859,freelance work ,2352
19861,dxc technology (gidc philippines) ,1832
19863,regal beloit corporation,5058
19867,regal beloit,5057
19873,ironcon builders,3139
19876,cormant technologies,1429
19881,tsukiden global solutions inc.,6379
19890,taragifts inc.,6026
19896,"rohm lsi design philippines, inc.",5169
19897,"infocom technologies, inc.",2970
19899,ayala corporation,711
19900,"msg global solutions philippines, incorporated",3991
19901,"toyota financial services philippines, incorporated",6286
19909,computer science corporation ,1377
19910,nityo infotech,4236
19913,merlin information systems limited ,3825
19914,manpower philippines ,3660
19915,teletech ,6088
19919,telus international philippines – application management and information technology services,6108
19924,landmark inc.,3433
19932,"dxc technology (philippines), inc. ",1835
19940,"kontak one management exchange, inc. ",3367
19941,"hgst, a western digital brand ",2725
19949,satori ,5313
19957,satori group ,5314
19958,aaromba technologies,77
19959,pure fishing ,4929
19960,img ,2938
19963,teleport business tech solutions inc - champion services,6086
20008,informatics computer institute,2986
20021,filinvest land inc.,2239
20022,philippine institute of industrial engineers-pupsc,4660
20023,philippine institute of industrial engineers - national student chapter,4659
20025,uratex philippines ,6551
20032,business solution center - meralco,985
20046,holiday inn and suites makati,2757
20047,fiametta sales and marketing,2229
20057,mercurio design lab srl ,3817
20058,gf & partners architects,2479
20061,vidalis construction and development corporation,6627
20064,emerio philippines,1939
20065,adec group of companies,219
20066,green packet,2608
20090,"alsons/aws information systems, inc",375
20091,hayakawa electronics (phils) corp.,2664
20092,"h.r.d. (s) pte., ltd.",2635
20101,cemex philippines,1104
20102,philam saving bank,4600
20104,remote work mate ,5071
20105,pinoy partners outsourcing center inc. (ppoc),4745
20107,beverly law ,876
20110,rarejob inc.,5008
20111,green cross inc. ,2605
20112,svi connect corporation,5934
20115,sky cable corporation ,5540
20116,st lukes medical center ,5740
20121,redbana philippines corp.,5049
20130,earthman and co. ,1861
20133,symphony digital ventures group co,5971
20134,solarsolutions inc.,5654
20135,seachange philippines corp. ,5350
20136,verifone,6599
20137,gmts it services,2542
20138,mitchel madison group,3918
20139,"gourmet farms, inc.",2582
20140,ulead systems ,6417
20149,smits inc,5613
20159,"astec power philippines, inc.",618
20162,val jalijali - event host ,6575
20170,teradata - americas development center - manila,6117
20173,capwire telecoms,1043
20180,freelance web development,2351
20187,apo production unit inc. ,477
20193,"ibm solutions delivery co., ltd. (philippines)",2886
20196,volubill,6669
20200,carnival cruise line,1060
20203,first datacorp,2259
20205,itec support plus inc.,3175
20208,outsourced ,4422
20209,avanade ,682
20211,lear corporation ,3452
20212,"infinitecare technology solutions, inc.",2963
20213,dxc technology former hewlett-packard enterprise ,1836
20222,"prople bpo, inc.",4883
20225,deutsche bank ag,1666
20227,thomson reuters legal manila,6221
20228,"deltek systems (philippines), ltd.",1617
20229,philippine economic zone authority,4645
20239,solegy llc,5656
20260,ama computer university,392
20261,engtek philippines inc. and engtek precision philippines inc.,2036
20266,de la salle lipa student government,1567
20279,"computer professionals, inc. (affiliate of hewlett-packard)",1375
20280,kgb_ philippines,3345
20281,expercs - world pacific contact center (affiliate of siemens it solutions & services),2157
20288,people support inc.,4534
20292,aia philippines,283
20293,webcast technologies inc. ,6710
20294,"asi animation studios, inc. ",554
20295,marcel trading corporation ,3682
20296,"cbe estrada prime holdings, inc.",1079
20298,cloud pal ,1268
20301,dimension data ,1743
20303,international sos ,3100
20306,info alchemy corporation ,2965
20307,"mdi (micro-d international, inc.) ",3752
20308,one hundred services inc. ,4347
20309,maginet corporation (intertouch pte. ltd.) ,3598
20310,"shakey's philippines (international family food services, inc.) ",5424
20313,"dbquest, inc.",1558
20315,csc - computer sciences corporation,1478
20317,zurich insurance,6931
20318,credit suisse,1466
20319,computer aid inc.,1371
20321,cystems inc. philippines,1508
20325,thomson reuters corporation pte. ltd.,6220
20326,thomson reuters world square building taguig city,6222
20327,phil-data business systems inc.,4588
20328,genpact philippines muntilupa alabang,2469
20329,philippines long distance telephone co. makati ave,4703
20330,amkor anam phil's. p1 sucat paranaque,426
20340,tietoevry,6226
20341,rayomar management inc.,5014
20342,kintetsu world express,3352
20345,game services group inc.,2425
20346,pup mis network operations center,4926
20348,hoya,2796
20357,national grid corporation of the philippines ,4053
20363,delbros inc,1596
20364,"epson precision philippines, inc",2067
20366,icon plc,2900
20370,"realpage, inc. ",5040
20373,eperformax contact centers and bpo,2052
20374,"chevron holdings, inc.",1161
20376,"phibi.com, inc.",4587
20377,"affiliated computer services (philippines), inc.",262
20378,"peoplesupport (asia), inc.",4542
20379,teamworks,6047
20381,triple v,6353
20382,behavior management for autistic children,841
20388,"microbase, inc.",3876
20390,3m gsc philippines ,41
20393,accenture inc. ,147
20394,peoplesoft (australia) ,4539
20395,innobar technology corp. (philippines) ,3015
20396,"lever 8 solutions, palarco (usa) ",3466
20397,broardreach consulting (usa) ,957
20398,headstrong (james martin+c0) philippines ,2679
20399,first philippine software (philippines) ,2269
20400,cytronics international (philippines) ,1509
20401,philippine bible society (philippines) ,4622
20403,77gsi ,51
20406,sas philippines,5311
20407,hewlett-packard co ,2715
20408,cherrypicks philippines,1155
20409,ab leisure exponent inc,80
20415,asic inc.,601
20422,dpc data inc.,1804
20424,avid,687
20439,av reality ,680
20441,melco resorts & entertainment ,3800
20444,nobile inc,4243
20445,"belexis concepts, inc",845
20458,"artistic expressions, ltd.",536
20460,leslie corporation,3463
20463,terumo (philippines) corporation ,6127
20477,"lloopp science, solutions, stories ",3515
20491,"canon information technologies, philippines, inc.",1030
20505,procter & gamble asia pte. ltd.,4863
20511,the searcher - the official student publication of pup-stb,6196
20515,"isoc holdings, inc. ",3151
20516,"beltontotoku philippines, inc. ",852
20538,trends global llc,6335
20539,moxy games,3977
20563,focus it corp,2307
20564,foutainhead technologies inc.,2336
20569,"trisilco folec philippines, inc ",6359
20570,keppel philippines marine inc. ,3331
20572,itbs information technology business solutions corporation ,3172
20573,variable (variablemag.com) ,6585
20577,aquinas university of legazpi college of engineering,497
20578,procter & gamble philippines inc.,4865
20579,east asia diesel power corporation,1863
20581,as white global,546
20585,aditya birla group,224
20591,berlitz corporation,864
20616,"safeway philtech, inc.",5220
20617,toyota motors philippines corporation,6294
20618,petplans inc.,4568
20620,medgate philippines ,3759
20621,genie technologies inc. (genietech),2463
20624,quoine,4982
20625,"bayview technologies, inc ",806
20633,imi philippines,2939
20647,solas consulting pte ltd,5655
20648,ventus global,6596
20661,media farm global,3761
20662,"sysu international, inc.",5996
20663,vignettes learning,6629
20665,bs ece 5-4,963
20666,nga technologies system ,4217
20667,search commercial inc. ,5359
20675,kong's restaurant ,3365
20677,delaware north,1594
20679,"nera philippines, inc. ",4096
20680,t-one vision inc.,5999
20684,lufthansansa services philippines,3551
20685,professional skin care formula,4871
20686,uno facctory outlet dasmarinas,6514
20693,philips ,4706
20694,freelance ,2346
20699,"computer professionals, inc. (cpi)",1376
20703,computer science corporation (csc),1378
20707,dusit hotel nikko,1826
20710,z-getcare systems inc. ,6891
20712,company name is confidential,1364
20715,"qbe management services inc, philippines",4954
20720,music tribe,4015
20721,terasystem,6120
20725,dbquest inc.,1556
20726,philippine veterans affairs office,4692
20727,"freelance, self-employed",2353
20730,trt ,6365
20733,accenture (business processing outsource),135
20739,davies paints philippines incorporated,1550
20741,world vision,6826
20747,ducen ,1822
20749,kyndryl ,3387
20754,unix/linux sys admin,6513
20759,emfour technology solutions,2011
20761,2success inc,33
20762,canon business process services,1020
20763,greif global dev. center,2615
20765,"information technology solutions international, inc.",2992
20772,true north communication solutions corp.,6368
20773,mobileventures,3936
20780,dell international services philippines ,1603
20786,vital ,6648
20787,westpac new zealand ,6739
20788,qual it,4962
20792,terrabit consulting,6126
20810,expert guides tutorial services ,2165
20813,surefire social,5922
20814,circus co. ltd.,1206
20822,apsoft inc,492
20824,ateneo innovation center ,642
20825,global zenith research and consulting inc. ,2518
20831,samsung r&d institute philippines - srph,5257
20832,abm global solutions (an epldt company),89
20833,ammic corporation,432
20878,"seiko epson corporation, japan",5377
