,role_or_degree,role_code
17097,wireless network field services engineer,12302
17098,field operation (ran / o&m) engineer,3558
17099,computer and mobile technician,2022
17100,mobile phone software technician,6713
17101,draftsman,3136
17103,senior systems administrator,10022
17108,senior leasing officer,9621
17109,leasing officer,6097
17110,coporate services officer,2198
17111,accounts payable clerk,210
17112,engineer (spare parts management),3273
17114,software development analyst supervisor,10381
17115,business applications analyst iv,1341
17116,sap re-fx consultant,9064
17117,"manager, content strategy and development",6354
17118,"junior manager, public affairs",5834
17119,producer & social media manager,7665
17120,researcher and producer,8706
17122,procurement category specialist,7626
17123,senior procurement agent - os&e,9786
17129,junior manager; hr business partnering- people & culture group,5836
17130,recruitment delivery lead,8432
17131,onsite senior recruiter - asia pacific region (under manpowergroup),6950
17132,sourcing specialist - apac region (under alexmann sol'ns),10533
17133,senior consultant - it / perm business,9387
17135,research associate / account manager,8689
17136,recruitment/admin assistant,8496
17147,network assistant,6778
17148,senior trade marketing officer,10099
17149,trade marketing officer,11831
17150,acting trade and consumer engagement supervisor - luzon,258
17151,trade and consumer engagement coordinator - ncr,11821
17156,senior network supervisor,9721
17159,lead project engineer,5999
17160,telecom design support engineer,11703
17161,commissioning & field test engineer,1941
17164,commissioning & test engineer,1942
17168,accounting associate iii,161
17169,accounting associate ii,160
17173,ovim nom engineer,7164
17175,avp/head - pldt and smart consumer sales,1122
17177,manager for usage & loyalty - retailer lifecycle management,6336
17178,"area manager, distributor sales group",560
17180,"senior supervisor, channel development for distributor group",9998
17181,distributor business manager,3109
17182,national sales trainer,6760
17184,agent coordinator ,342
17185,retail sales frontliner and inventory officer,8764
17186,training partner,11878
17187,audit specialist,1038
17191,corporate legal counsel,2245
17192,estate & corporate lawyer,3373
17195,content contributor,2118
17197,e-commerce copywriter,3155
17199,cheerleading coach,1716
17201,waiter and social media manager,12204
17203,corporate communications and online publicity manager,2223
17204,"product marketing, marcomm, and pr manager",7725
17205,sr. public affairs officer (marcomm and corpcomm),10748
17206,editor,3179
17208,capture financial data senior associate,1573
17209,process improvement senior associate,7567
17211,quality assurance supervisor - inbound and outbound (smart and sun),8212
17212,quality assurance supervisor - outbound and satellite branch,8215
17213,quality assurance supervisor - satellite branch,8216
17214,quality assurance supervisor - inbound and satellite branch (sun cellular),8213
17220,"sr. service, surveillance and assurance engineer",10764
17222,proactive web developer (wireless access engineer),7493
17223,drive test analyst (radio network optimization engineer),3137
17224,plant operations engineer,7371
17225,head of innovation and product development - pldt group disruptive business,4198
17226,r&d and product development head - m2m and iot,8280
17227,offering manager - managed services and infrastructure,6862
17228,sap implementations project manager,9031
17233,senior information system auditor,9567
17236,senior data management specialist,9434
17237,business intelligence specialist,1409
17242,system administration,11080
17243,support engineer for fixed broadband,11060
17245,digital production specialist,3012
17246,digital specialist,3015
17247,digital marketing assistant,2996
17249,territory merchandising manager,11736
17250,sr. software engineer supervisor,10768
17253,sr. software development analyst,10765
17255,sales assistant/policy encoder,8886
17256,events specialist,3404
17257,sr. events officer,10693
17258,events officer,3400
17260,strategic marketing and events specialist,10851
17262,human resources - intern,4921
17263,customer relations officer,2569
17264,section head ovim-sim,9178
17265,network engineer supervisor,6784
17266,(supervisory level) core network engineer - packet switch and datacom,14
17267,network development and integration engineer,6780
17270,business operations support officer,1430
17272,banking and finance,1157
17275,head of project management office,4235
17276,solutions specialist & project management associate,10499
17277,marketing operations lead,6519
17278,sports marketing junior manager,10648
17282,ojt- hr ,6916
17283,systems administration supervisor,11125
17284,sr. systems administrator,10783
17286,jr. systems administrator,5739
17287,junior manager- trade marketing department,5835
17290,vp of prepaid and postpaid product management & customer value management,12191
17291,vp of prepaid product management & customer value management,12192
17292,assistant vice president - prepaid product management & customer value management,777
17293,senior manager - prepaid product management,9644
17294,senior manager - smart prepaid subscriber management,9651
17295,manager - smart prepaid acquisition,6309
17296,manager - sun postpaid new channels acquisition,6312
17297,manager - smart prepaid clm marketing/campaign manager and regional and segments usage,6310
17298,manager - smart prepaid usage,6311
17299,assistant product manager - smart prepaid usage,719
17302,nfvi engineer,6822
17305,sr. security network analyst,10762
17306,network enginner,6786
17307,intelligent automation developer,5263
17318,assistant engineer – it,625
17319,collection support associate,1901
17321,store cashier,10843
17325,transaction advisory services associate,11890
17326,technology strategy and transformation executive,11697
17327,ran optimization specialist/supervisor,8295
17328,radio access network optimization engineer,8286
17329,on-the-job trainee (international transmission maintenance center),6923
17330,senior field operations engineer,9487
17331,field operations senior engineer,3561
17332,osp technician team lead,7150
17334,engineering assistant,3303
17336,senior ps core specialist,9833
17339,ps core engineer,8090
17341,packet core back office engineer,7185
17344,senior public relations specialist,9834
17346,pr associate,7428
17348,lifestyle writer,6137
17352,"assistant vice president, cyber security operations group - governance center",799
17353,demand and resource management center head,2869
17354,network portfolio manager,6798
17355,"program and project manager, mainstream business and network programs",7827
17357,regional service assurance engineer,8566
17358,rf engineer (ibs design),8792
17359,drivetest analyst,3140
17362,it data manager,5497
17365,"assistant vice president & head, brand engagement",769
17366,"assistant vice president, sports",802
17367,tnt tropang giga team manager,11807
17368,"assistant vice president & head, community development and partnerships",770
17369,gilas pilipinas men's - team manager,3905
17370,"assistant vice president & head, sme community engagement and marketing communications",771
17371,sme trade marketing head,10333
17372,sme area sales head - gmm south,10329
17374,professional basketball player,7804
17378,operations staff,7051
17379,product supervisor,7742
17383,human resource senior specialist,4903
17385,information systems officer - hr,5176
17386,assistant project manager - sap hcm,726
17388,business systems specialist,1484
17391,senior data management officer,9433
17392,project development officer,7916
17393,senior sales admin associate,9887
17394,sales admin associate,8859
17397,infrastructure and operations manager,5218
17398,database administrator - supervisor,2811
17399,cyber security solutions architecture senior specialists,2701
17400,cyber security risk management senior specialists,2700
17401,hadoop administration supervisor for operation,4129
17407,system engineer(sql),11106
17412,budget management supervisor,1299
17414,senior budget management officer,9344
17415,marketing & executive assistant,6450
17416,senior credit analyst,9407
17418,administrative assistant / accounts payable,294
17422,senior brand assistant ,9332
17423,"senior analyst, big campaigns management",9258
17424,"analyst, big campaigns management",415
17425,"analyst, onsite campaigns execution (shopee supermarket)",418
17427,head of marketing,4210
17428,head of production | managing associate | student ambassador,4233
17430,on-the-job-training,6930
17436,noc engineer - general networking,6828
17439,hr project consultant,4695
17440,head of hr and admin services,4191
17442,"human resources manager, group shared",4994
17444,hr manager for employee services,4618
17446,hr manager for employee relations and comp/ben,4617
17447,corporate and plant human resources senior supervisor,2214
17448,plant human resources supervisor,7369
17449,corporate human resources supervisor,2242
17451,hr and administrative services supervisor,4461
17452,human resources management officer,4982
17454,human resources management supervisor,4983
17456,personnel clerk,7298
17458,benefits clerk,1167
17459,senior system administration supervisor (unix/linux/wintel/vmware/san),10010
17460,senior systems administrator (unix/linux/wintel/vmware/san),10023
17461,systems support engineer,11160
17462,technical support specialist / system administrator (unix/wintel/vmware/san),11625
17463,as/400 system operator / technical support assistant ,578
17464,database administrator / systems specialist,2813
17465,consultant - network optimization,2062
17466,avp - network planning and optimization and analytics,1078
17467,rf planning consultant,8794
17469,senior process and compliance engineer,9767
17470,senior power and project management engineer,9756
17471,power engineer,7424
17472,process and design specialist,7507
17473,operations support officer,7067
17475,ran optimization supervisor,8296
17477,senior engineer / supervising engineer 1,9468
17480,senior software test analyst,9946
17482,business analyst and qa analyst,1317
17483,business analyst and test analyst,1318
17485,business analyst and qa,1316
17487,it service delivery consultant/project manager,5588
17489,voice services manager,12169
17492,outbound sales specialist,7158
17493,jr station manager,5701
17494,territorial sales representative at patient care corporation,11733
17495,sales executive with the rank of supervisor,8907
17499,financial consultant and volunteer,3641
17501,accounting and tax services,138
17502,on-the-job trainee ,6922
17508,senior human resources manager (hr business partner),9556
17509,human resources manager for employee engagement,4993
17510,assistant human resources manager,630
17512,hr generalist - business partnering,4583
17514,senior communications officer,9384
17515,hr recruitment officer,4712
17524,wireless support facilities senior engineer,12304
17526,assitant vice president enterprise risk management and insurance,808
17528,cvm operations - batch campaign lead,2686
17530,clm operations support associate,1835
17534,engineering supervisor,3312
17535,"jr. brand manager - luzon, regional marketing, go to market & subs base",5704
17536,"jr. brand manager - south luzon, regional marketing, go to market & subs base",5705
17537,"regional assistant category manager - beauty+, asia pacific & china",8514
17538,"regional new product development specialist - beauty+, asia pacific & china",8553
17539,"regional brand assistant - beauty+, asia pacific & china",8518
17541,system engineer / developer,11104
17544,senior analytics officer,9268
17545,analytics officer,429
17546,decision management unit intern,2836
17550,center head/avp - international roaming and consumer business,1652
17552,manager - international roaming business and alliances,6294
17553,product manager - access services,7710
17555,assistant manager - business solutions and product development,643
17557,"avp, center head- financial reporting and planning",1101
17558,executive financial advisor,3436
17559,senior manager/ head - financial reporting and planning,9692
17560,financial reporting manager (management reporting),3671
17561,head- financial accounting and reporting,4301
17569,online store operator,6947
17571,marketing assistant/ executive secretary,6479
17573,project service management engineer,8046
17574,adr engineer,319
17576,"manager, project management - information technology",6386
17577,jr. manager - program management and business analysis,5727
17578,"process, quality and knowledge management specialist",7603
17579,technical training team manager,11645
17580,training team manager / support group,11886
17581,assistant technical trainer,761
17585,category lead - it procurement,1629
17586,international roaming product manager,5381
17587,product development manager - common platforms and services,7688
17588,product development manager - broadband internet and data services,7687
17589,product development manager - wireless broadband,7689
17590,manager - broadband service development,6287
17591,manager - mtu business unit,6301
17592,co-founder - general manager,1869
17594,head of oss & virtualized infra management,4222
17595,head of noc,4213
17596,vp for noc and fixed mobile convergence,12187
17597,regional solutions architect for wimax/lte,8569
17598,avp for noc and support,1089
17599,head-network operations center,4303
17600,"director, globenet operations",3079
17601,head-network operations and support,4302
17602,avp- network operations and control center,1114
17603,datacomm engineer/international switching center staff,2824
17609,"assistant general manager, tnt tropang giga professional basketball team",628
17610,liaison officer/sports coordinator at tnt ka-tropa professional basketball team,6129
17611,concierge/guest service officer,2042
17612,guest service assistant/event sales executive,4111
17613,assistant vice president & head of regional marketing,768
17616,regional brand manager - thailand and philippines,8520
17618,consumer marketing and activations executive,2094
17619,brand management,1250
17620,senior licensing officer,9624
17623,hses staff,4863
17626,test analyst supervisor,11743
17627,sr. test analyst,10796
17630,risk managment associate,8807
17631,procurement category specialist - construction procurement,7628
17632,maintenance planner/buyer,6229
17633,eol maintenance technicain,3351
17634,structural engineer supervisor,10875
17635,structural engineer / project engineer,10873
17638,postpaid product manager,7420
17639,postpaid product management lead,7419
17640,smart postpaid go-to-market lead,10326
17641,smart postpaid brand officer,10325
17642,trade marketing specialist,11832
17644,product account associate,7669
17646,third year batch representative,11772
17647,actm week project head,260
17648,performer- street,7289
17649,promos committee member,8068
17650,"vice president, digital group",12135
17651,"director, digital advertising",3074
17654,process and quality specialist,7510
17655,senior manager of it - business intelligence,9664
17656,manager of it- business intelligence,6341
17657,manager of prepaid service delivery platform,6342
17658,"manager, prepaid customer service application",6382
17659,"supervisor i to iii, prepaid customer service application",10951
17660,"software dev’t analyst, prepaid customer service application",10393
17661,1st - computer operations; 2nd - programmer,23
17663,audit specialist ii,1041
17664,audit specialist i,1040
17668,operations accounting analyst (officer),6973
17675,development management officer iii,2965
17677,user experience (ux) design manager,12047
17678,user experience (ux) consultant,12046
17679,design solutions lead,2941
17680,user experience (ux) architect,12045
17681,ux (user experience) consultant/developer,12061
17682,head creative,4159
17683,senior field operations support engineer,9488
17684,field operations support engineer,3562
17685,service fulfillment and indoor assurance engineer,10203
17687,product manager for enterprise broadband,7717
17688,account manager - group marketing,86
17690,business development admin. assistant,1362
17692,telephony support supervisor,11716
17696,senior manager - tnt brand,9654
17697,manager - tnt brand,6316
17698,manager - prepaid portfolio ,6303
17699,manager - tnt usage,6317
17700,junior brand manager - tnt usage,5787
17701,"junior brand manager - broadband data marketing usage, retention and loyalty",5786
17702,assistant brand manager - tanduay ice/tanduay black,610
17703,assistant brand manager - business development,606
17704,senior brand assistant - swift processed meat,9334
17706,business analysis supervisor,1306
17708,regional analytics,8512
17710,technical data manager,11483
17711,senior trade research analyst,10100
17713,information security specialist (24x7 operations),5164
17714,"supervisor / specialist, transport network planning & engineering",10945
17715,transport network senior engineer,11932
17717,eehs supervisor,3198
17718,"senior facility program management engineer , operations and performance support",9485
17719,admin supervisor,286
17722,audit analytics manager,1014
17723,senior fraud supervisor,9505
17724,fraud supervisor,3776
17725,it security manager,5581
17727,compliance supervisor,2014
17728,junior system operator,5878
17729,customer care officer,2471
17730,core planning and engineering supervisor,2203
17732,corporate communications and marketing publicity supervisor,2222
17733,public relations associate,8100
17740,"avp, planning and governance, process and project management",1111
17741,"senior manager, solution delivery",9690
17743,"project manager, pmo",8017
17744,"project manager, sap implementation",8022
17745,"project manager, strategic value innovation",8024
17746,"project manager, strategic projects",8023
17747,"project manager, regional business requirements",8019
17748,"manager, new technology transfers",6376
17750,network and service analytics engineer,6776
17752,"marketing manager, pldt home consumer marketing",6511
17753,"manager, marketing communications ",6374
17754,group account director,4081
17755,business unit director,1492
17756,regional senior account director,8565
17762,senior business analyst specialist,9349
17763,information technology business analyst,5181
17766,hr supervisor - executive services,4795
17767,hr compensation supervisor,4555
17771,mainframe computer operator,6213
17774,health check consultant,4309
17775,applications/solutions consultant,528
17776,it consultant/system implementer-team leader,5494
17779,systems engineers,11150
17781,senior access network planning engineer,9209
17782,applications engineer,523
17783,app capability and operations manager,454
17785,graphic design/web dev/digital marketing/events,4077
17786,researcher/technical assistant,8709
17787,segment producer,9203
17788,fraud management senior specialist,3769
17790,senior software quality assurance,9943
17795,head of content operations and product development,4168
17796,"manager, innovations & product development - mobile internet, broadband",6369
17798,"senior manager - data charging, consumer platforms, vas",9633
17799,senior manager - product development / handsets & sim,9646
17800,head of cyber security compliance management,4171
17801,head - cyber security access and asset management (csaam),4138
17802,head - cyber security compliance management,4139
17803,regional manager (asia) - enterprise web infrastructure & digital portfolio,8545
17806,technical and project manager,11459
17807,systems administrator supervisor,11128
17810,cyber security specialist,2702
17811,junior manager • cyber security performance management,5831
17812,customer using experience specialist,2683
17813,customer experience quality systems specialist,2511
17814,product quality engineer,7738
17815,wirebond engineer,12297
17816,senior wireless engineer,10117
17817,wireless network engineer ii,12300
17818,wireless network engineer i,12299
17819,network supervisor,6805
17821,network engineer ii,6783
17823,vice president - people services,12105
17824,vice president - hr head,12098
17825,avp-employee relations compensation & benefits,1116
17827,freelance account manager,3780
17828,accounts manager,200
17829,community specialist,1978
17833,organizing committee president for activation camp and talent acquisition,7144
17834,local committee vice president for outgoing exchange,6164
17835,junior manager - tax,5830
17837,tax analyst iii,11282
17838,tax analyst ii,11281
17840,cyber security operations group - information security supervisor,2698
17841,cyber security operations group - sr. information security analyst,2699
17842,senior identity and cyber security analyst (access management/sailpoint),9561
17843,data analyst/support specialist,2721
17847,project market analyst,8031
17848,senior portfolio and program leader,9755
17849,part time faculty / board of adviser business analytics- smit,7188
17851,jr. manager,5726
17853,senior business process improvement specialist,9358
17855,"supervisor, techlogies and systems support , smart/suncel",10968
17856,it audit specialist,5482
17859,accounting associate - supervisory,159
17860,experienced advisory associate - it auditor / internal auditor,3468
17862,materials inspector and machine operator,6574
17863,network assurance specialist,6779
17864,senior network operations engineer,9715
17867,project mangement engineer,8030
17869,pollution control officer,7404
17870,senior facilities engineer,9482
17871,technical team lead - proserve multi-resource specialist,11634
17873,senior lead software engineer,9607
17874,lead software engineer / technical specialist,6011
17876,software development supervisor,10391
17878,head sms business,4262
17879,head of international roaming,4203
17880,"manager, international roaming and new business",6371
17882,"concurrent manager - international roaming for digitel mobile philippines, inc.",2043
17883,client acquisition business dev't supervisor,1783
17887,group chief product officer,4083
17888,angel investor,434
17889,angel investor/director,435
17892,"vp & head, product management",12175
17893,"managing director, ecommerce & product management head",6405
17894,"media products, southeast asia",6605
17895,general manager / director,3895
17896,accounts director/co-founder,197
17897,jr. manager for technical operations,5729
17899,process and standards mgt specialist,7515
17902,adsl helpdesk,321
17908,collections manager,1915
17909,manager sales operations,6345
17912,recovery manager,8329
17913,avp - smart infinity,1080
17914,avp brand engagement ,1083
17915,"head, brand engagement",4266
17916,"sr manager, smart infinity marketing services",10666
17917,"manager, smart infinity events and operations",6395
17925,hr/admin officer,4833
17926,business support/admin,1479
17927,legal manager,6109
17930,"vp for technology transformation, business transformation office",12188
17931,"avp for technology transformation, business transformation office",1090
17932,"senior manager for technology transformation, business transformation office",9661
17933,program management head,7846
17934,senior manager - mainstream services,9640
17935,"technical program manager - eload, trade & international services",11513
17936,"technical program manager - financial services, load & trade services, international services",11514
17937,technical payments specialist,11510
17941,category management analyst,1630
17942,procurement analyst - category management,7615
17944,buyer - new products introduction,1502
17945,failure analysis technician,3530
17946,project management officer,7980
17947,marketing assistant ii,6477
17948,project specialist,8050
17950,risk management associate,8806
17951,senior credit officer,9408
17952,activation officer,259
17954,senior information security supervisor,9566
17955,it coordinator,5495
17956,"section head, information systems audit",9179
17959,it & is supervisor,5454
17963,senior l2 technical support engineer,9602
17964,l2 technical support engineer ,5937
17965,corenetwork engineer,2206
17967,internship training program,5400
17968,nework specialist/supervisor,6817
17969,head of learning and development,4206
17973,full-time instructor,3839
17976,production analyst/staff,7751
17977,customer service associates,2594
17978,"head - it applications delivery, it operations and managed services governance",4147
17979,head - it applications delivery,4146
17980,"head of it delivery, quality assurance & testing",4204
17981,"head - qa & testing, axa services asia",4150
17982,vice president – corporate investment banking technology,12130
17983,vice president – global technology and operations – qa & testing ,12132
17984,vice president – global technology and operations,12131
17985,vice president – change the bank,12129
17986,senior manager - it delivery head,9637
17988,project supervisor,8056
17997,talent management officer,11253
17998,talent management assistant,11249
18002,sr. network engineer,10730
18003,supervising engineer,10935
18004,senior influencer marketing specialist,9562
18005,senior insights manager,9571
18006,"head, brand and content marketing",4265
18007,"manager, client business partnership",6352
18008,"secondment, asean knowledge & insights",9166
18009,digital communications specialist,2982
18011,publishing specialist,8109
18012,partnerships and communications intern,7213
18013,"manager, site portfolio and technology engagement ",6393
18014,"country head , global market operations middle east region",2318
18016,country head,2317
18017,"key accounts relationship executive , global commercial payments",5906
18020,card sales supervisor,1578
18028,digital project manager,3013
18029,consultant it project manager,2068
18030,software project manager,10450
18034,software test engineer ii,10471
18035,senior information analyst,9563
18036,business analyst specialist,1325
18039,sap business analyst,8993
18040,associate research analyst,921
18042,transport and network planning engineer,11927
18043,data network engineer,2776
18047,network operation center officer,6791
18048,technical support/it staff,11631
18049,it manager - pmo,5543
18051,transformation program management lead,11910
18052,technical pm lead,11511
18053,sgo network and platform engineer,10265
18054,senior core network engineer,9399
18055,transmission planning engineer,11925
18057,system specialist,11116
18061,transport engineer,11928
18062,digital marketing specialist,3003
18063,it staff/support,5618
18066,marketing associate - corporate business group,6483
18068,vp for accounts,12186
18070,programs commitee,7882
18072,junior brand manager- usage campaigns lead,5789
18077,corporate account specialist,2209
18078,"asst vice president, logistics",977
18079,"senior manager, logistics",9681
18085,procurement and administrative staff,7619
18086,technical services engineer,11531
18089,information security manager,5158
18091,application systems engineer 3,513
18095,web content specialist,12234
18096,website product support specialist,12266
18102,trade marketing associate,11829
18106,assistant manager - business services,642
18112,project manager for installation,8006
18114,"head, project administration / facility management and customer care division",4290
18115,senior planning and cost engineer,9752
18116,technical operations specialist,11507
18123,"jr. procurement category specialist, supply chain planning & procurement",5732
18126,philam insurance company inc.,7320
18128,application support supervisor,508
18131,assistant vice president - it innovation and funnel management,776
18132,senior manager - digital office,9634
18133,mobilization manager,6719
18137,network operations center (noc) assistant manager,6792
18139,instructor (junior faculty),5240
18142,manager - technology services division,6315
18143,sr. systems engineer iii,10785
18144,team lead - dba,11324
18145,systems administration officer,11124
18146,test management - senior,11761
18147,functional test senior specialist,3850
18148,sap technical engineer,9107
18149,cmd administrator (sap sd & customer master data),1858
18150,sap mdm operation (customer master),9037
18153,transport network specialist,11933
18157,quality assurance ii,8202
18159,senior test analyst,10096
18160,quality assurance/game tester,8224
18161,web designer / seo specialist,12239
18162,project director,7919
18163,"head, outside plant project management",4286
18164,"senior project manager, nsd project management",9828
18165,cto,2447
18166,"senior project manager, project management & implementation",9829
18167,"senior operations manager, network operations center",9735
18168,"operations manager, cellular mobile technical services",7027
18169,"operations manager, bulacan district",7026
18170,"radio network engineer, coast and border guard project",8289
18171,"engineering supervisor, antipolo control earth station",3313
18172,procurement operations head,7651
18174,"assistant manager - administration, logistics and procurement",640
18175,temporary junior project manager,11724
18176,it enginner ii,5510
18177,system and network administrator,11096
18178,helpdesk engineer,4332
18179,right of way specialist,8797
18180,head of product development & operations for digital media - innovations and digital services ,4229
18181,head of ux design and engineering for digital acceleration,4255
18182,"senior manager, innovations & product development",9679
18183,"senior product manager, internet product development",9797
18184,product manager for vas and data services,7719
18185,manager for international roaming and new business,6332
18186,product manager for rich media,7718
18188,"manager, satellite and international services",6392
18189,"manager, small and medium enterprise business",6394
18190,"roaming manager, international services",8812
18191,"roaming manager, wholesale business",8813
18192,"product manager, smart prepaid activations",7720
18193,"carrier relations officer, carrier business",1595
18194,"senior supervisor, market research",10000
18196,senior internal auditor (specialist),9576
18202,system administrator supervisor,11084
18204,specialist ii - audit data analytics,10615
18205,specialist i - audit data analytics,10605
18209,finance clerk,3596
18210,corporate communications specialist,2228
18212,senior producer,9791
18213,"co producer, stocks to watch",1865
18214,"co producer, bloomberg best",1864
18216,nurse,6842
18218,writer/ producer,12354
18222,revenue assurance analyst,8779
18226,technical writer engineer,11648
18228,production planner,7781
18229,procurement category specialist- supervisorial level,7629
18234,student advisor,10880
18235,business leadership program delegate,1416
18236,newsletter writer,6820
18237,senior technical coordinator,10078
18239,project specialist 2,8051
18240,administrative asssistant,298
18241,customer fraud management jr. manager,2521
18242,fraud data analytics supervisor,3767
18243,incident response & remediation analyst,5106
18244,assistant retail store manager,731
18246,studio tour guide,10905
18247,solution architect,10476
18248,project manager and configuration analyst,8003
18250,obs stream manager/senior in engineer,6854
18251,in team leader/senior in engineer,5081
18252,account support engineer,125
18254,product officer (project manager),7730
18255,senior product assistant,9792
18256,marketing-product development,6544
18258,senior knowledge management officer,9601
18259,knowledge management officer,5919
18260,communication assistant,1950
18263,inventory accountant,5407
18272,information security risk management analyst,5162
18273,automation and quality consultant,1057
18274,global access management/est1/pt1,3907
18275,first vice president / head of consumer marketing & subs base management,3702
18276,chief operations officer,1740
18277,head of programming operations,4234
18279,consultant - none core business,2063
18281,vice president - marketing,12102
18283,professional faculty,7808
18284,product development and marketing,7683
18289,process & standards management specialist,7501
18290,fraud specialist,3775
18294,dancer,2708
18297,it procurement lead,5557
18298,major account manager -telco,6237
18299,bu networks practice lead,1292
18301,consulting systems engineer (cse),2086
18303,solution manager,10480
18304,transmission and broadband solution manager,11923
18305,ece professor,3166
18307,sr. price engineer/specialist business support,10735
18310,branch control assessor,1218
18311,quality assurance supervisor - oic,8214
18312,roving cashier and inventory officer,8828
18313,quality management officer,8261
18315,is / it analyst,5443
18317,senior software development specialist,9926
18321,jr.systems engineer,5745
18324,associate - audit,813
18329,senior project management analyst ,9823
18330,sales operations support specialist,8928
18332,operations support staff,7070
18333,hr –staff,4825
18334,hr-recruitment and manpower assistant,4828
18335,senior radio access network engineer,9851
18337,board exam review instructor,1205
18339,director of product management,3063
18340,product head for acquiring - paymaya philippines,7703
18341,product head - digital commerce & merchant services,7702
18342,senior manager - product development,9645
18343,"co-founder, coo, cto, cpo",1872
18345,associate director - product development,846
18351,account management officer,81
18352,senior customer service officer,9417
18363,system integrator,11111
18366,process analyst supervisor,7505
18367,senior process analyst,9765
18368,senior program management engineer,9807
18369,program management engineer,7845
18370,analyst 2,394
18372,merchandising officer,6650
18374,loyalty and retention associate,6204
18375,partnership officer,7212
18376,account manager and support specialist,90
18377,information analyst,5139
18378,off-boarding analyst,6858
18380,junior manager - revenue audit,5829
18382,audit specialist - revenue assurance,1039
18385,senior associate - assurance services,9295
18386,associate- assurance services,968
18387,hr business partner/vice president,4545
18388,"hr business partner, avp/center head",4540
18393,grade school teacher,4054
18394,corporate communications supervisor,2230
18395,senior corporate communications officer,9401
18396,corporate communications officer,2226
18398,assistant stylist,735
18401,network oss supervisor,6797
18402,core network engineering supervisor,2202
18403,mobile cs core network senior engineer,6708
18404,mobile cs core network engineer ,6707
18405,"manager, go-to-market masterbrand (new innovations, vas, gaming and esports)",6361
18406,"manager, smart prepaid and smart bro prepaid go-to-market and subscriber base management",6396
18407,"manager, smart prepaid subscribers base management",6397
18408,"brand manager, smart prepaid mobile gaming, rewards, sports & channel marketing",1260
18409,"assistant brand manager, integrated marketing and communities development",612
18410,"assistant brand activations manager - smart/tnt/sun prepaid, smart/sun broadband & mobile internet",604
18411,marketing services officer,6531
18413,parttime faculty,7218
18419,system test analyst at ibm ph for tmobile,11120
18420,system quality assurance analyst,11114
18427,"events specialist, supervisor",3405
18428,senior events officer,9474
18432,intern ambassador - events department,5313
18435,pre-sales engineer,7443
18436,head of data management - data technologies,4173
18437,senior data modeler,9435
18438,senior practice manager - data architecture,9758
18439,senior practice manager - data integration,9759
18440,practice manager - informatica - data integration,7431
18441,associate practice manager - informatica - data integration,899
18442,senior technical consultant - informatica - data integration,10077
18444,lead solutions analyst,6014
18445,associate hardware engineer,867
18452,internet support analyst,5388
18453,application and integration head,460
18454,manager (vas & sun innovations),6285
18455,applications manager,526
18456,product development supervisor,7693
18457,billing officer,1192
18458,"lease and site acquistion manager at smart communications, inc",6093
18459,"leasing and site acquistion manager at smart communications, inc.",6095
18460,leasing manager,6096
18461,human resource generalist (business partnering),4893
18469,software tester consultant,10474
18472,"data center operations manager at smart communications, inc.",2738
18474,helpdesk and technical support services supervisor,4330
18475,senior brand engagement officer,9336
18476,marketing pr analyst,6522
18477,corporate events officer,2235
18478,research and strategy intern,8682
18479,creative,2350
18480,"manager, business partnering",6350
18481,"senior supervisor, business partnering",9997
18482,"supervisor, project management and business analysis",10962
18483,"senior officer, project management and product development",9723
18484,"officer, project management and product development",6887
18485,"junior officer, project management",5845
18486,"supervisor, services delivery",10963
18487,"management trainee, information technology",6277
18489,machine learning engineer,6210
18490,statistical data scientist,10832
18493,senior project management supervisor,9824
18494,senior fraud detection supervisor,9504
18496,senior switch engineer,10009
18497,bsc/rnc optimization engineer,1286
18498,senior engineer ii (bss fault management & support),9469
18499,project coordinator / implementation engineer,7907
18500,field operations & maintenance engineer,3560
18501,telecoms / implementation engineer,11707
18502,bss maintenance engineer ( gsm o & m ),1289
18503,bss/transmission engineer,1290
18505,service management analyst supervisor,10214
18506,sr. service management analyst,10763
18508,project management associate,7972
18513,quality assurance and control,8188
18514,industrial trainee,5132
18516,carrier relations specialist,1596
18517,carrier relations officer,1594
18518,data prep specialist,2779
18519,support assistant - international carrier,11055
18520,fundraiser,3856
18522,executive operation,3444
18527,3d artist,29
18538,financial analyst i,3637
18539,order processing analyst,7123
18541,"shared resource, enterprise risk management (concurrent deputy head, corporate governance office)",10267
18542,"professor of law, part-time (employment law; legal ethics)",7821
18543,management consultant,6252
18544,"deputy head, corporate governance office",2917
18546,hr manager/business partner,4625
18547,sr corporate hr officer,10659
18551,unified service assurance specialist,12004
18553,it systems administrator,5631
18555,associate manager- talent acquisition,890
18557,virtual recruiter,12160
18558,phonescreener,7335
18560,"senior network specialist, network oss planning and engineering",9720
18561,"senior network specialist, master planning",9719
18562,"senior network specialist, core network planning and engineering",9718
18563,"network specialist, wireless core planning",6804
18564,"sr. engineer, wireless data planning",10692
18565,"engineer, data service planning",3298
18567,senior business analyst (associate - grade iii),9346
18568,business analyst (associate - grade ii),1310
18569,business analyst (associate - grade i),1309
18570,research intern and project researcher,8700
18573,service center agent,10139
18575,category lead - core network procurement,1628
18576,"head, bids & pricing",4264
18577,pricing manager,7468
18578,"sales engagement manager, consulting & systems integration (csi)",8903
18579,solutions manager (core),10497
18580,"regional bid manager, apac",8516
18583,short term delegate - technical sales engineer,10291
18584,short term delegate - regional sales asia,10290
